Current Velocity,Pstr CD = 0.35,Pstr CD = 1.0,Tmix CD = 0.35,Tmix CD 1.0,h,per
0.01,5.0633100000000006e-08,1.44666e-07,4200860.108034814,1470301.037812185,13.0,setup
0.02,4.0506480000000005e-07,1.157328e-06,525107.5135043517,183787.62972652313,13.0,setup
0.03,1.3670936999999996e-06,3.9059819999999995e-06,155587.41140869685,54455.5939930439,13.0,setup
0.04,3.2405184000000004e-06,9.258624e-06,65638.43918804397,22973.45371581539,13.0,setup
0.05,6.329137500000002e-06,1.8083250000000003e-05,33606.88086427851,11762.408302497477,13.0,setup
0.060000000000000005,1.0936749599999997e-05,3.1247855999999996e-05,19448.426426087106,6806.949249130487,13.0,setup
0.06999999999999999,1.7367153300000005e-05,4.9620438000000014e-05,12247.405562783712,4286.5919469742985,13.0,setup
0.08,2.5924147200000003e-05,7.4068992e-05,8204.804898505496,2871.681714476924,13.0,setup
0.09,3.69115299e-05,0.00010546151399999999,5762.4967188406235,2016.8738515942184,13.0,setup
0.09999999999999999,5.0633100000000015e-05,0.00014466600000000003,4200.8601080348135,1470.3010378121846,13.0,setup
0.11,6.73926561e-05,0.000192550446,3156.1683756835573,1104.6589314892449,13.0,setup
0.12,8.749399679999997e-05,0.00024998284799999997,2431.0533032608882,850.8686561413109,13.0,setup
0.13,0.0001112409207,0.00031783120200000003,1912.089261736374,669.2312416077309,13.0,setup
0.14,0.00013893722640000004,0.0003969635040000001,1530.925695347964,535.8239933717873,13.0,setup
0.15000000000000002,0.00017088671249999995,0.00048824774999999996,1244.6992912695748,435.6447519443512,13.0,setup
0.16,0.00020739317760000003,0.000592551936,1025.600612313187,358.9602143096155,13.0,setup
0.17,0.00024876042030000004,0.0007107440580000001,855.0498896875257,299.267461390634,13.0,setup
0.18000000000000002,0.0002952922392,0.0008436921119999999,720.3120898550779,252.1092314492773,13.0,setup
0.19,0.0003472924329,0.0009922640940000001,612.4595579581301,214.36084528534548,13.0,setup
0.2,0.0004050648000000001,0.0011573280000000002,525.1075135043517,183.78762972652308,13.0,setup
0.21000000000000002,0.0004689131390999999,0.0013397518259999997,453.60761343643395,158.7626647027519,13.0,setup
0.22,0.0005391412488,0.001540403568,394.52104696044466,138.0823664361556,13.0,setup
0.23,0.0006160529277,0.0017601512220000001,345.26671390111073,120.84334986538875,13.0,setup
0.24000000000000002,0.0006999519743999998,0.0019998627839999997,303.88166290761103,106.35858201766386,13.0,setup
0.25,0.0007911421875,0.00226040625,268.85504691422807,94.09926641997984,13.0,setup
0.26,0.0008899273656,0.0025426496160000003,239.01115771704676,83.65390520096636,13.0,setup
0.27,0.0009966113073000002,0.0028474608780000004,213.42580440150454,74.69903154052659,13.0,setup
0.28,0.0011114978112000003,0.003175708032000001,191.3657119184955,66.97799917147341,13.0,setup
0.29000000000000004,0.0012348906758999996,0.003528259073999999,172.2440488759201,60.285417106572034,13.0,setup
0.3,0.0013670936999999996,0.0039059819999999997,155.58741140869685,54.4555939930439,13.0,setup
0.31,0.0015084106820999997,0.004309744805999999,141.01104723019753,49.35386653056915,13.0,setup
0.32,0.0016591454208000002,0.004740415488,128.20007653914837,44.870026788701935,13.0,setup
0.33,0.0018196017147000003,0.005198862042000001,116.89512502531691,40.91329375886092,13.0,setup
0.34,0.0019900833624000003,0.005685952464000001,106.88123621094071,37.40843267382925,13.0,setup
0.35000000000000003,0.002170894162499999,0.006202554749999999,97.97924450226975,34.29273557579441,13.0,setup
0.36000000000000004,0.0023623379136,0.0067495368959999994,90.03901123188474,31.513653931159663,13.0,setup
0.37,0.0025647184143,0.007327766898,82.93408303624297,29.02692906268503,13.0,setup
0.38,0.0027783394632,0.007938112752000001,76.55744474476626,26.795105660668185,13.0,setup
0.39,0.0030035048589000003,0.008581442454,70.81812080505091,24.786342281767812,13.0,setup
0.4,0.003240518400000001,0.009258624000000002,65.63843918804396,22.973453715815385,13.0,setup
0.41000000000000003,0.003489683885099999,0.009970525385999997,60.95181596370941,21.33313558729829,13.0,setup
0.42000000000000004,0.0037513051127999993,0.010718014607999997,56.700951679554244,19.845333087843986,13.0,setup
0.43,0.0040256858817,0.011501959661999999,52.83635539052933,18.492724386685264,13.0,setup
0.44,0.0043131299904,0.012323228544,49.31513087005558,17.26029580451945,13.0,setup
0.45,0.0046139412375000004,0.01318268925,46.09997375072498,16.134990812753745,13.0,setup
0.46,0.0049284234216,0.014081209776000001,43.15833923763884,15.105418733173593,13.0,setup
0.47000000000000003,0.005256880341299999,0.015019658117999997,40.46174843757949,14.161611953152821,13.0,setup
0.48000000000000004,0.005599615795199998,0.015998902271999998,37.98520786345138,13.294822752207983,13.0,setup
0.49,0.005956933581899999,0.017019810233999996,35.70672175738692,12.497352615085425,13.0,setup
0.5,0.0063291375,0.01808325,33.60688086427851,11.76240830249748,13.0,setup
0.51,0.0067165313481000015,0.019190089566,31.66851443287132,11.083980051504964,13.0,setup
0.52,0.0071194189248,0.020341196928000002,29.876394714630845,10.456738150120795,13.0,setup
0.53,0.0075381040287,0.021537440082000002,28.216985216217513,9.875944825676127,13.0,setup
0.54,0.007972890458400002,0.022779687024000003,26.678225550188067,9.337378942565824,13.0,setup
0.55,0.008424082012500002,0.024068805750000005,25.249347005468444,8.837271451913958,13.0,setup
0.56,0.008891982489600003,0.025405664256000007,23.920713989811937,8.372249896434177,13.0,setup
0.5700000000000001,0.009376895688299997,0.02679113053799999,22.683687331782604,7.93929056612391,13.0,setup
0.5800000000000001,0.009879125407199997,0.028226072591999992,21.530506109490013,7.535677138321504,13.0,setup
