Current Velocity,Pstr CD = 0.35,Pstr CD = 1.0,Tmix CD = 0.35,Tmix CD 1.0,per
0.01,5.0633100000000006e-08,1.44666e-07,1312115.224737047,459240.32865796646,setup
0.02,4.0506480000000005e-07,1.157328e-06,164014.40309213087,57405.04108224581,setup
0.03,1.3670936999999996e-06,3.9059819999999995e-06,48596.86017544621,17008.90106140617,setup
0.04,3.2405184000000004e-06,9.258624e-06,20501.80038651636,7175.630135280726,setup
0.05,6.329137500000002e-06,1.8083250000000003e-05,10496.921797896375,3673.9226292637322,setup
0.060000000000000005,1.0936749599999997e-05,3.1247855999999996e-05,6074.607521930776,2126.1126326757712,setup
0.06999999999999999,1.7367153300000005e-05,4.9620438000000014e-05,3825.408818475355,1338.8930864663744,setup
0.08,2.5924147200000003e-05,7.4068992e-05,2562.725048314545,896.9537669100907,setup
0.09,3.69115299e-05,0.00010546151399999999,1799.883710201711,629.9592985705988,setup
0.09999999999999999,5.0633100000000015e-05,0.00014466600000000003,1312.115224737047,459.24032865796653,setup
0.11,6.73926561e-05,0.000192550446,985.8115888332436,345.03405609163525,setup
0.12,8.749399679999997e-05,0.00024998284799999997,759.325940241347,265.7640790844714,setup
0.13,0.0001112409207,0.00031783120200000003,597.2304163573268,209.03064572506437,setup
0.14,0.00013893722640000004,0.0003969635040000001,478.1761023094194,167.3616358082968,setup
0.15000000000000002,0.00017088671249999995,0.00048824774999999996,388.7748814035696,136.07120849124934,setup
0.16,0.00020739317760000003,0.000592551936,320.3406310393181,112.11922086376134,setup
0.17,0.00024876042030000004,0.0007107440580000001,267.0700640620898,93.47452242173142,setup
0.18000000000000002,0.0002952922392,0.0008436921119999999,224.98546377521387,78.74491232132485,setup
0.19,0.0003472924329,0.0009922640940000001,191.29832697726306,66.95441444204205,setup
0.2,0.0004050648000000001,0.0011573280000000002,164.01440309213086,57.405041082245816,setup
0.21000000000000002,0.0004689131390999999,0.0013397518259999997,141.68180809167987,49.58863283208797,setup
0.22,0.0005391412488,0.001540403568,123.22644860415545,43.129257011454406,setup
0.23,0.0006160529277,0.0017601512220000001,107.84213238571934,37.74474633500177,setup
0.24000000000000002,0.0006999519743999998,0.0019998627839999997,94.91574253016837,33.220509885558926,setup
0.25,0.0007911421875,0.00226040625,83.97537438317103,29.39138103410986,setup
0.26,0.0008899273656,0.0025426496160000003,74.65380204466585,26.128830715633047,setup
0.27,0.0009966113073000002,0.0028474608780000004,66.6623596371004,23.331825872985135,setup
0.28,0.0011114978112000003,0.003175708032000001,59.77201278867742,20.9202044760371,setup
0.29000000000000004,0.0012348906758999996,0.003528259073999999,53.799467987086295,18.829813795480202,setup
0.3,0.0013670936999999996,0.0039059819999999997,48.5968601754462,17.008901061406167,setup
0.31,0.0015084106820999997,0.004309744805999999,44.04401412295819,15.415404943035368,setup
0.32,0.0016591454208000002,0.004740415488,40.042578879914764,14.014902607970168,setup
0.33,0.0018196017147000003,0.005198862042000001,36.511540327157164,12.779039114505007,setup
0.34,0.0019900833624000003,0.005685952464000001,33.38375800776122,11.684315302716428,setup
0.35000000000000003,0.002170894162499999,0.006202554749999999,30.60327054780286,10.711144691731,setup
0.36000000000000004,0.0023623379136,0.0067495368959999994,28.123182971901734,9.843114040165606,setup
0.37,0.0025647184143,0.007327766898,25.903998277240188,9.066399397034065,setup
0.38,0.0027783394632,0.007938112752000001,23.912290872157882,8.369301805255256,setup
0.39,0.0030035048589000003,0.008581442454,22.119645050271362,7.741875767594977,setup
0.4,0.003240518400000001,0.009258624000000002,20.501800386516358,7.175630135280727,setup
0.41000000000000003,0.003489683885099999,0.009970525385999997,19.037959761713378,6.663285916599682,setup
0.42000000000000004,0.0037513051127999993,0.010718014607999997,17.710226011459984,6.198579104010996,setup
0.43,0.0040256858817,0.011501959661999999,16.50314091510241,5.7760993202858435,setup
0.44,0.0043131299904,0.012323228544,15.403306075519431,5.391157126431801,setup
0.45,0.0046139412375000004,0.01318268925,14.399069681613684,5.03967438856479,setup
0.46,0.0049284234216,0.014081209776000001,13.480266548214917,4.718093291875221,setup
0.47000000000000003,0.005256880341299999,0.015019658117999997,12.63800145186565,4.423300508152978,setup
0.48000000000000004,0.005599615795199998,0.015998902271999998,11.864467816271047,4.152563735694866,setup
0.49,0.005956933581899999,0.017019810233999996,11.152795389140984,3.903478386199344,setup
0.5,0.0063291375,0.01808325,10.496921797896379,3.6739226292637324,setup
0.51,0.0067165313481000015,0.019190089566,9.891483854151472,3.4620193489530156,setup
0.52,0.0071194189248,0.020341196928000002,9.331725255583232,3.266103839454131,setup
0.53,0.0075381040287,0.021537440082000002,8.813417953995899,3.084696283898563,setup
0.54,0.007972890458400002,0.022779687024000003,8.33279495463755,2.916478234123142,setup
0.55,0.008424082012500002,0.024068805750000005,7.886492710665946,2.7602724487330814,setup
0.56,0.008891982489600003,0.025405664256000007,7.471501598584678,2.6150255595046374,setup
0.5700000000000001,0.009376895688299997,0.02679113053799999,7.085123221380116,2.47979312748304,setup
0.5800000000000001,0.009879125407199997,0.028226072591999992,6.724933498385787,2.3537267244350253,setup
0.59,0.0103989754449,0.029711358413999998,6.388750674299939,2.236062736004979,setup
0.6,0.010936749599999997,0.031247855999999997,6.074607521930775,2.126112632675771,setup
0.61,0.0114927516711,0.032836433346,5.780727130187316,2.0232544955655607,setup
0.62,0.012067285456799998,0.034477958447999994,5.5055017653697735,1.926925617879421,setup
0.63,0.012660654755700001,0.036173299302,5.24747437376592,1.8366160308180723,setup
0.64,0.013273163366400002,0.037923323904,5.0053223599893455,1.751862825996271,setup
