z,dens,mldU,mldL,per
8.75,1021.0,9.0,17.0,peak
9.0,1021.0,9.0,17.0,peak
9.25,1021.09375,9.0,17.0,peak
9.5,1021.1875,9.0,17.0,peak
9.75,1021.28125,9.0,17.0,peak
10.0,1021.375,9.0,17.0,peak
10.25,1021.46875,9.0,17.0,peak
10.5,1021.5625,9.0,17.0,peak
10.75,1021.65625,9.0,17.0,peak
11.0,1021.75,9.0,17.0,peak
11.25,1021.84375,9.0,17.0,peak
11.5,1021.9375,9.0,17.0,peak
11.75,1022.03125,9.0,17.0,peak
12.0,1022.125,9.0,17.0,peak
12.25,1022.21875,9.0,17.0,peak
12.5,1022.3125,9.0,17.0,peak
12.75,1022.40625,9.0,17.0,peak
13.0,1022.5,9.0,17.0,peak
13.25,1022.59375,9.0,17.0,peak
13.5,1022.6875,9.0,17.0,peak
13.75,1022.78125,9.0,17.0,peak
14.0,1022.875,9.0,17.0,peak
14.25,1022.96875,9.0,17.0,peak
14.5,1023.0625,9.0,17.0,peak
14.75,1023.15625,9.0,17.0,peak
15.0,1023.25,9.0,17.0,peak
15.25,1023.34375,9.0,17.0,peak
15.5,1023.4375,9.0,17.0,peak
15.75,1023.53125,9.0,17.0,peak
16.0,1023.625,9.0,17.0,peak
16.25,1023.71875,9.0,17.0,peak
16.5,1023.8125,9.0,17.0,peak
16.75,1023.90625,9.0,17.0,peak
17.0,1024.0,9.0,17.0,peak
17.25,1024.0,9.0,17.0,peak
17.5,1024.0,9.0,17.0,peak
17.75,1024.0,9.0,17.0,peak
18.0,1024.0,9.0,17.0,peak
18.25,1024.0,9.0,17.0,peak
18.5,1024.0,9.0,17.0,peak
18.75,1024.0,9.0,17.0,peak
19.0,1024.0,9.0,17.0,peak
19.25,1024.0,9.0,17.0,peak
19.5,1024.0,9.0,17.0,peak
19.75,1024.0,9.0,17.0,peak
20.0,1024.0,9.0,17.0,peak
20.25,1024.0,9.0,17.0,peak
20.5,1024.0,9.0,17.0,peak
20.75,1024.0,9.0,17.0,peak
21.0,1024.0,9.0,17.0,peak
21.25,1024.0,9.0,17.0,peak
21.5,1024.0,9.0,17.0,peak
21.75,1024.0,9.0,17.0,peak
22.0,1024.0,9.0,17.0,peak
22.25,1024.0,9.0,17.0,peak
22.5,1024.0,9.0,17.0,peak
22.75,1024.0,9.0,17.0,peak
23.0,1024.0,9.0,17.0,peak
23.25,1024.0,9.0,17.0,peak
23.5,1024.0,9.0,17.0,peak
23.75,1024.0,9.0,17.0,peak
24.0,1024.0,9.0,17.0,peak
24.25,1024.0,9.0,17.0,peak
24.5,1024.0,9.0,17.0,peak
24.75,1024.0,9.0,17.0,peak
25.0,1024.0,9.0,17.0,peak
0.0,1022.0,15.0,19.0,breakdown
0.25,1022.0,15.0,19.0,breakdown
0.5,1022.0,15.0,19.0,breakdown
0.75,1022.0,15.0,19.0,breakdown
1.0,1022.0,15.0,19.0,breakdown
1.25,1022.0,15.0,19.0,breakdown
1.5,1022.0,15.0,19.0,breakdown
1.75,1022.0,15.0,19.0,breakdown
2.0,1022.0,15.0,19.0,breakdown
2.25,1022.0,15.0,19.0,breakdown
2.5,1022.0,15.0,19.0,breakdown
2.75,1022.0,15.0,19.0,breakdown
3.0,1022.0,15.0,19.0,breakdown
3.25,1022.0,15.0,19.0,breakdown
3.5,1022.0,15.0,19.0,breakdown
3.75,1022.0,15.0,19.0,breakdown
4.0,1022.0,15.0,19.0,breakdown
4.25,1022.0,15.0,19.0,breakdown
4.5,1022.0,15.0,19.0,breakdown
4.75,1022.0,15.0,19.0,breakdown
5.0,1022.0,15.0,19.0,breakdown
5.25,1022.0,15.0,19.0,breakdown
5.5,1022.0,15.0,19.0,breakdown
5.75,1022.0,15.0,19.0,breakdown
6.0,1022.0,15.0,19.0,breakdown
6.25,1022.0,15.0,19.0,breakdown
6.5,1022.0,15.0,19.0,breakdown
6.75,1022.0,15.0,19.0,breakdown
7.0,1022.0,15.0,19.0,breakdown
7.25,1022.0,15.0,19.0,breakdown
7.5,1022.0,15.0,19.0,breakdown
7.75,1022.0,15.0,19.0,breakdown
8.0,1022.0,15.0,19.0,breakdown
8.25,1022.0,15.0,19.0,breakdown
8.5,1022.0,15.0,19.0,breakdown
8.75,1022.0,15.0,19.0,breakdown
9.0,1022.0,15.0,19.0,breakdown
9.25,1022.0,15.0,19.0,breakdown
9.5,1022.0,15.0,19.0,breakdown
9.75,1022.0,15.0,19.0,breakdown
10.0,1022.0,15.0,19.0,breakdown
